,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
55,5,3,2,2,0,1,0,1,1,3,1,2,1,0,0,1,0,4,0,9,0
56,2,2,1,2,0,0,0,1,1,0,1,27,1,0,0,1,0,4,0,9,0
57,3,2,0,2,0,0,0,0,5,3,1,1,1,0,0,1,0,5,0,9,0
58,2,2,0,2,0,1,0,1,0,1,1,5,1,0,0,1,0,5,0,7,0
59,6,2,2,3,0,0,0,0,3,1,2,1,1,1,1,0,0,5,1,1,1
60,5,3,0,3,0,0,2,0,7,2,1,1,1,2,1,0,1,9,1,2,0
61,3,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,1,2,1,5,0
62,5,2,0,6,0,0,0,1,8,1,1,1,0,1,2,0,0,6,1,2,1
63,4,1,0,1,0,0,0,0,8,2,1,1,1,0,0,0,0,2,1,5,0
64,4,0,2,4,0,0,0,0,0,1,1,2,1,0,0,0,1,2,1,5,0
65,3,2,1,2,0,0,0,0,4,2,1,3,1,0,0,1,0,3,0,9,0
66,4,5,2,6,0,0,2,0,7,3,1,1,1,0,0,0,1,9,1,2,0
67,2,1,2,1,0,1,2,1,1,2,1,3,1,0,0,1,0,4,0,9,0
68,3,0,0,0,0,1,0,0,2,2,3,2,0,1,2,0,0,3,1,8,1
69,3,4,0,2,0,1,0,0,0,0,1,1,1,1,1,0,1,2,1,5,0
70,3,5,1,3,1,1,0,1,1,2,1,4,1,0,0,1,0,4,0,9,1
71,5,1,0,1,1,0,0,1,4,2,2,3,1,0,0,1,0,3,0,9,1
72,2,2,1,1,0,0,0,0,0,4,1,3,1,0,0,0,1,2,1,5,0
73,3,6,0,2,0,0,0,0,0,1,1,4,1,0,0,0,1,2,1,5,0
74,3,5,1,1,0,0,2,0,5,4,2,1,1,0,0,1,0,5,0,9,1
75,3,2,0,2,0,0,0,0,5,3,1,5,1,0,0,1,0,5,0,9,0
76,3,2,1,2,0,0,0,1,1,1,1,2,1,0,0,1,0,4,0,9,0
77,3,4,1,2,0,1,0,1,0,3,2,2,1,0,0,1,0,5,0,7,0
78,3,10,0,0,0,1,0,1,1,0,1,6,1,0,0,1,0,4,0,9,0
79,3,5,1,2,0,1,0,0,5,4,1,12,1,0,0,1,0,5,0,9,0
80,5,5,0,3,1,0,0,0,8,2,2,1,1,0,0,0,0,2,1,5,0
81,4,2,2,1,0,0,0,1,1,4,1,2,1,0,0,1,0,4,0,9,0
82,5,1,0,5,1,1,0,0,5,3,1,7,1,0,0,1,0,5,0,9,0
83,5,8,0,2,0,0,0,0,8,3,1,1,0,1,2,0,0,2,1,5,0
84,3,3,2,2,0,0,0,0,2,3,1,1,1,0,0,0,0,3,1,8,0
85,4,2,0,2,0,0,0,1,0,4,1,1,1,0,0,1,0,5,0,7,0
86,3,10,1,2,0,0,2,0,2,4,1,1,1,0,0,0,0,3,1,8,0
87,4,1,1,0,0,2,1,1,1,3,2,3,1,0,0,1,0,4,0,9,1
88,4,2,1,2,0,1,0,0,5,3,2,1,1,0,0,1,0,5,0,9,1
89,3,0,0,4,0,0,0,1,4,1,1,1,1,0,0,1,0,3,0,9,0
90,4,10,1,1,0,0,0,0,4,2,1,5,1,0,0,1,0,3,0,9,0
91,3,0,0,0,0,1,0,0,2,4,1,2,1,1,1,0,0,3,1,8,0
92,4,0,0,1,1,1,0,1,1,4,1,2,1,0,0,1,0,4,0,9,0
93,2,4,0,2,0,0,0,1,0,0,1,2,1,0,0,1,0,5,0,7,0
94,3,0,1,4,0,0,0,1,4,4,1,5,1,0,0,1,0,3,0,9,0
95,4,6,0,3,0,1,0,0,2,4,1,2,1,0,0,0,0,3,1,8,0
96,5,8,0,4,1,1,0,1,0,2,1,3,1,0,0,1,0,5,0,7,0
97,3,5,0,3,0,0,0,1,0,1,1,6,1,0,0,1,0,5,0,7,0
98,5,6,0,2,0,1,0,0,4,4,2,2,1,0,0,1,0,3,0,9,0
99,5,2,0,6,0,1,0,0,5,4,1,1,1,0,0,1,0,5,0,9,0
100,3,6,0,2,1,1,2,0,8,0,1,1,1,1,1,0,0,2,1,5,0
101,5,2,0,1,1,0,0,0,4,4,1,1,1,0,0,1,0,3,0,9,0
102,3,1,0,1,0,0,2,0,0,3,1,3,1,0,0,0,1,2,1,5,0
103,3,2,1,6,0,0,0,0,0,0,1,1,1,0,0,0,1,2,1,5,0
104,3,1,1,0,0,0,0,0,8,3,2,2,1,0,0,0,0,2,1,5,0
105,4,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,2,1,5,0
106,4,3,0,3,0,1,0,1,0,2,1,1,1,0,0,1,0,5,0,7,0
107,3,0,0,4,0,0,0,1,4,3,1,2,1,0,0,1,0,3,0,9,0
108,3,0,0,0,0,1,0,1,1,4,1,1,1,0,0,0,0,4,1,1,0
109,4,6,0,2,0,0,0,0,4,1,1,1,1,0,0,0,1,6,1,4,0
110,5,2,0,2,0,0,2,0,4,1,1,1,1,0,0,0,1,6,1,4,0
111,5,0,0,5,1,0,2,0,5,3,1,2,1,0,0,1,0,5,0,9,0
112,3,0,0,4,0,0,0,1,1,1,1,2,1,0,0,1,0,4,0,9,0
113,5,6,0,2,0,0,2,0,2,1,1,1,1,1,1,0,0,3,1,8,0
114,3,2,0,2,0,1,0,1,1,2,1,2,1,0,0,1,0,4,0,9,0
115,4,3,0,2,0,0,0,0,2,4,2,1,1,0,0,0,0,3,1,8,1
116,4,6,2,4,0,0,0,0,2,3,1,1,1,0,0,0,0,3,1,8,0
117,5,1,0,1,1,1,0,1,0,3,1,4,1,0,0,1,0,5,0,7,0
118,3,0,0,1,0,1,2,0,4,2,1,4,1,0,0,1,0,3,0,9,0
119,5,8,0,0,0,1,2,0,0,1,1,1,1,0,0,0,1,2,1,5,0
120,2,4,0,3,0,0,0,1,1,1,1,2,1,0,0,1,0,4,0,9,0
121,3,0,2,0,0,0,0,0,0,4,2,1,1,1,1,0,1,2,1,5,0
122,2,1,1,1,0,1,0,0,4,1,1,1,1,0,0,1,0,3,0,9,0
123,5,0,0,3,0,0,2,0,0,0,1,3,1,1,1,0,1,2,1,5,0
124,5,3,0,5,1,1,2,1,0,3,1,1,1,0,0,1,0,5,0,7,0
125,4,5,2,0,1,1,0,0,4,1,1,2,1,0,0,1,0,3,0,9,0
126,3,0,0,0,0,0,0,0,8,3,1,1,1,1,1,0,0,2,1,5,0
127,5,2,0,0,1,0,0,0,5,3,1,3,1,0,0,1,0,5,0,9,0
128,7,8,0,5,0,1,0,0,8,4,1,1,1,1,1,0,0,2,1,5,1
129,3,4,2,6,0,1,0,1,0,1,3,4,1,0,0,1,0,5,0,7,0
130,2,6,0,2,0,1,2,0,5,1,1,2,1,0,0,1,0,5,0,9,0
131,4,6,0,2,0,0,0,0,0,3,1,1,1,0,0,0,1,2,1,5,0
132,3,2,2,2,0,1,0,0,8,2,1,1,1,0,0,0,0,2,1,5,1
133,2,1,1,3,0,0,0,1,0,2,1,1,1,0,0,1,0,5,0,7,0
134,4,5,0,3,0,0,0,0,5,2,3,1,1,0,0,1,0,5,0,9,0
135,5,8,2,1,0,0,0,0,1,4,2,1,1,0,0,0,1,4,1,4,1
136,3,2,0,2,0,1,2,1,0,1,1,2,1,0,0,1,0,5,0,7,0
137,3,2,0,2,0,1,0,0,2,2,1,2,1,0,0,0,0,1,1,1,0
138,3,5,2,3,0,1,0,1,0,1,1,1,1,0,0,1,0,5,0,7,0
139,5,0,2,5,0,1,0,1,1,1,2,1,1,0,0,1,0,4,0,9,1
140,5,5,2,3,0,0,2,0,4,4,2,14,1,0,0,1,0,3,0,9,0
141,3,5,2,3,0,0,0,0,2,4,1,1,1,0,0,0,0,3,1,8,0
142,4,2,0,1,0,0,0,0,4,0,1,6,1,0,0,1,0,3,0,9,0
143,2,5,1,3,0,0,0,0,5,3,1,2,0,1,2,0,1,7,1,4,1
144,3,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,5,0,7,0
145,4,0,0,0,0,0,0,0,8,2,1,2,1,0,0,0,0,2,1,5,0
146,3,1,0,1,0,1,2,0,2,3,1,1,1,0,0,0,0,3,1,8,0
147,4,5,0,0,1,1,2,1,0,3,1,4,1,0,0,1,0,5,0,7,0
148,5,11,0,0,0,1,2,0,2,1,1,1,1,1,1,0,1,7,1,2,0
149,4,2,2,2,0,0,0,0,5,2,1,1,1,0,0,1,0,5,0,9,0
150,8,9,0,5,0,1,0,1,3,4,1,3,0,2,2,0,0,5,1,1,1
151,2,0,0,5,0,0,0,0,4,2,1,1,1,0,0,1,0,3,0,9,0
152,3,2,0,1,1,0,0,0,2,1,1,3,1,0,0,0,0,3,1,8,0
153,3,10,1,2,0,0,0,0,4,4,1,1,0,3,2,0,0,4,1,1,1
154,3,5,1,2,0,0,0,0,5,1,1,1,1,0,0,1,0,5,0,9,0
155,5,0,0,5,0,0,0,0,5,4,1,1,1,0,0,1,0,5,0,9,0
156,3,0,0,0,0,1,0,0,4,1,1,1,1,0,0,1,0,3,0,9,0
157,5,1,0,6,0,0,0,0,5,3,1,2,1,0,0,1,0,5,0,9,0
158,4,5,1,6,0,1,0,0,4,4,1,2,1,0,0,1,0,3,0,9,0
159,3,2,1,1,0,0,2,0,0,1,1,1,1,0,0,0,1,2,1,5,0
160,3,10,0,1,0,0,0,0,2,3,2,1,1,0,0,0,0,3,1,8,0
161,4,2,1,1,0,0,0,0,2,2,1,2,1,2,1,0,0,1,1,1,0
162,4,2,1,1,0,1,0,0,0,2,3,2,1,0,0,0,1,2,1,5,0
163,3,2,1,1,0,1,0,0,2,2,1,2,1,2,1,0,0,1,1,1,0
164,5,1,2,1,1,1,0,0,2,2,1,1,1,0,0,0,0,3,1,8,0
165,4,2,0,1,0,0,0,0,7,0,2,3,0,1,2,0,0,1,1,1,1
166,3,2,0,2,0,0,0,0,0,0,1,2,1,0,0,0,1,2,1,5,0
167,7,0,2,5,1,1,0,0,5,3,1,1,1,0,0,0,0,5,1,1,0
168,4,1,0,1,0,0,0,1,0,0,1,2,1,0,0,1,0,5,0,7,0
169,4,2,0,1,0,0,2,1,1,1,1,10,1,0,0,1,0,4,0,9,0
170,4,0,0,3,0,1,0,0,2,0,1,1,1,0,0,0,0,1,1,1,0
171,3,2,0,2,0,0,0,0,5,4,1,6,1,0,0,1,0,5,0,9,0
172,5,1,0,3,1,1,0,0,5,2,1,2,1,0,0,1,0,5,0,9,0
173,4,1,1,1,1,2,1,0,0,2,2,2,1,1,1,0,1,2,1,5,0
174,4,5,0,3,0,1,0,1,0,0,1,3,1,0,0,1,0,5,0,7,0
175,4,5,0,2,0,0,0,0,5,1,1,7,1,0,0,1,0,5,0,9,0
176,4,0,0,0,0,0,2,1,0,1,3,2,1,0,0,1,0,5,0,7,0
177,5,8,1,3,0,0,0,1,0,2,1,1,1,0,0,1,0,5,0,7,0
178,2,2,1,6,0,1,0,0,6,4,1,1,0,1,2,0,0,6,1,2,1
179,5,0,0,0,0,1,0,0,5,0,2,1,1,0,0,1,0,5,0,9,1
180,3,6,0,2,0,0,2,1,1,1,1,1,1,0,0,0,1,4,1,4,0
181,4,3,0,2,0,0,0,1,0,4,1,1,1,0,0,1,0,5,0,7,0
182,5,5,0,6,0,0,0,1,1,0,1,3,1,0,0,1,0,4,0,9,0
183,4,6,0,5,1,0,0,1,0,0,1,1,1,0,0,1,0,5,0,7,0
184,5,8,0,1,0,1,0,0,0,2,1,1,1,0,0,0,1,2,1,5,0
185,4,6,0,2,0,0,0,0,0,3,1,1,1,0,0,0,1,2,1,5,0
186,4,2,0,1,0,0,0,0,5,0,1,1,1,0,0,1,0,5,0,9,0
187,5,0,0,4,0,0,0,0,0,2,1,3,0,1,2,0,1,2,1,5,1
188,5,4,0,1,0,1,0,0,5,4,1,3,1,0,0,1,0,5,0,9,0
189,5,0,0,4,0,1,0,0,5,0,1,1,1,0,0,1,0,5,0,9,0
190,3,0,1,0,0,1,0,0,2,1,1,1,1,0,0,0,0,3,1,8,0
191,4,9,0,5,1,0,0,1,1,0,1,8,1,0,0,1,0,4,0,9,0
192,4,5,0,3,1,0,0,1,1,2,1,11,1,0,0,1,0,4,0,9,0
193,4,1,1,0,0,1,0,0,2,4,1,2,1,0,0,0,0,3,1,8,0
194,3,0,0,4,0,0,0,0,8,0,1,1,1,1,1,0,0,2,1,5,0
195,5,0,0,0,0,1,0,0,2,4,1,1,1,1,1,0,0,3,1,8,0
196,5,0,2,1,0,0,2,0,4,2,2,2,1,0,0,1,0,3,0,9,1
197,4,5,0,3,0,1,0,1,0,4,1,1,1,0,0,1,0,5,0,7,0
198,3,5,0,2,0,0,0,0,0,1,1,1,1,0,0,0,1,2,1,5,0
199,3,7,1,2,0,1,0,0,2,3,1,2,1,0,0,0,0,3,1,8,0
200,2,7,1,1,0,1,0,0,5,4,1,1,1,1,1,0,1,7,1,4,0
201,4,2,2,0,1,1,0,1,0,1,1,1,1,0,0,1,0,5,0,7,0
202,4,4,0,2,0,0,0,0,2,0,2,3,1,0,0,0,0,3,1,8,0
203,5,1,0,0,0,1,0,0,5,1,1,13,1,0,0,1,0,5,0,9,0
204,2,2,1,1,0,0,0,1,2,2,1,1,0,1,2,0,0,1,1,1,0
205,3,0,1,4,1,0,0,1,1,1,1,1,1,0,0,1,0,4,0,9,0
206,5,6,0,5,0,0,0,0,2,1,1,1,1,0,0,0,0,3,1,8,0
207,3,6,0,2,0,0,0,0,2,1,1,2,1,0,0,0,0,3,1,8,0
208,4,1,0,3,0,0,0,1,0,4,1,4,1,0,0,1,0,5,0,7,0
209,3,0,0,6,0,1,0,1,0,1,1,2,1,0,0,1,0,5,0,7,0
210,4,3,0,2,1,0,0,0,4,4,1,1,1,0,0,1,0,3,0,9,0
211,4,1,0,1,1,0,0,0,4,2,1,4,1,0,0,1,0,3,0,9,0
212,3,5,0,3,0,1,0,0,4,4,2,1,1,0,0,1,0,3,0,9,0
213,4,0,2,0,0,0,0,0,0,0,1,1,1,1,1,0,1,2,1,5,0
214,2,2,0,2,0,1,0,0,0,4,1,3,1,1,1,0,1,2,1,5,0
215,2,1,1,2,0,1,0,0,4,3,1,6,1,0,0,1,0,3,0,9,0
216,4,6,0,2,1,0,2,0,8,0,1,1,1,0,0,0,0,2,1,5,0
217,3,2,1,2,0,0,0,0,5,2,1,1,1,0,0,1,0,5,0,9,0
218,5,0,0,0,1,1,0,0,2,4,1,2,1,0,0,0,0,3,1,8,0
219,5,8,0,0,1,1,0,0,4,0,1,1,1,0,0,1,0,3,0,9,0
220,2,7,1,1,0,1,2,0,4,0,1,2,1,0,0,1,0,3,0,9,0
221,3,3,1,2,0,1,2,0,2,3,1,1,1,0,0,0,0,3,1,8,0
222,4,2,0,3,1,1,0,0,4,3,1,3,1,0,0,1,0,3,0,9,0
223,3,6,0,4,1,1,0,1,1,2,1,5,1,0,0,1,0,4,0,9,0
224,5,0,2,6,0,1,0,0,4,4,1,8,1,0,0,1,0,3,0,9,0
225,3,5,1,3,0,0,0,0,0,2,1,3,1,1,1,0,1,2,1,5,0
226,5,8,0,5,0,1,0,1,8,4,1,4,1,0,0,0,0,2,1,5,0
227,3,0,0,5,0,0,0,1,0,1,1,2,1,0,0,1,0,5,0,7,0
228,7,8,1,5,0,1,0,0,2,2,1,4,0,1,2,0,1,7,1,2,1
229,4,11,1,0,1,0,0,1,1,2,1,3,1,0,0,1,0,4,0,9,0
230,3,0,0,6,0,1,0,1,0,0,1,2,1,0,0,1,0,5,0,7,0
231,3,1,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,4,0,9,0
232,4,10,0,6,0,1,0,1,1,0,1,3,1,0,0,1,0,4,0,9,0
233,3,2,1,2,0,0,0,0,5,3,2,4,1,0,0,1,0,5,0,9,1
234,5,8,0,5,0,0,0,0,5,0,1,1,1,0,0,1,0,5,0,9,0
235,2,0,0,0,0,0,0,0,4,2,1,3,1,0,0,1,0,3,0,9,0
236,3,0,1,4,0,0,0,0,0,0,2,2,1,0,0,0,1,2,1,5,0
237,5,1,0,1,1,0,0,0,5,3,1,1,1,0,0,1,0,5,0,9,0
238,4,1,0,1,0,1,0,0,6,1,1,6,1,0,0,0,1,1,1,5,1
239,5,11,0,5,0,1,2,0,4,3,1,1,1,0,0,1,0,3,0,9,0
240,4,0,0,0,1,1,0,1,0,4,1,1,1,0,0,1,0,5,0,7,0
241,3,5,0,3,0,1,0,0,4,3,1,4,1,0,0,1,0,3,0,9,0
242,3,1,0,1,1,1,0,0,4,2,1,3,1,0,0,1,0,3,0,9,0
243,5,6,0,2,0,1,0,0,5,2,1,4,1,0,0,1,0,5,0,9,0
244,3,5,1,3,0,0,0,0,0,3,1,1,1,0,0,0,1,2,1,5,0
245,4,0,2,4,1,0,0,0,0,3,1,1,1,0,0,0,1,2,1,5,0
246,3,9,1,2,0,1,0,1,1,3,1,2,1,0,0,1,0,4,0,9,0
247,4,2,0,0,0,1,0,1,8,2,1,3,1,1,1,0,0,2,1,5,0
248,3,4,0,0,0,0,2,0,2,3,1,3,1,0,0,0,0,3,1,8,0
249,4,2,0,1,0,1,0,1,0,1,1,3,1,0,0,1,0,5,0,7,0
250,5,2,2,2,0,0,0,0,5,4,1,2,1,0,0,1,0,5,0,9,0
251,3,2,0,2,0,0,0,0,3,0,1,1,1,0,0,0,1,8,1,2,0
252,2,5,0,3,0,1,0,0,4,3,1,9,1,0,0,1,0,3,0,9,0
253,4,6,0,6,0,1,0,1,0,0,1,3,1,0,0,1,0,5,0,7,0
254,2,5,1,2,0,0,2,1,1,2,1,6,1,0,0,1,0,4,0,9,0
255,2,6,0,2,0,0,2,0,5,4,1,2,1,0,0,1,0,5,0,9,0
256,4,2,0,1,0,1,0,1,0,1,1,3,1,0,0,1,0,5,0,7,0
257,5,0,0,6,1,0,0,1,0,4,2,2,1,0,0,1,0,5,0,7,0
258,3,2,1,1,0,0,0,0,4,1,2,1,1,0,0,1,0,3,0,9,0
259,3,4,0,2,0,0,2,0,5,1,2,2,1,0,0,1,0,5,0,9,0
260,5,5,0,0,0,1,0,0,4,4,1,1,1,0,0,1,0,3,0,9,0
261,3,5,0,3,0,0,0,0,4,3,1,1,1,0,0,1,0,3,0,9,1
262,5,2,0,3,0,1,0,0,2,4,5,2,0,1,2,0,0,1,1,1,1
263,5,0,0,0,0,0,0,0,5,2,2,1,1,0,0,1,0,5,0,9,1
264,2,2,1,2,1,0,0,0,5,4,1,5,1,0,0,1,0,5,0,9,0
265,6,1,0,1,1,1,0,0,5,4,1,1,1,0,0,1,0,5,0,9,0
266,2,10,1,2,0,1,0,1,1,1,1,2,1,0,0,1,0,4,0,9,0
267,3,10,0,1,0,0,0,0,4,4,1,3,1,0,0,1,0,3,0,9,0
268,4,0,0,5,0,1,0,1,0,1,1,1,1,0,0,1,0,5,0,7,0
269,4,9,0,1,0,1,0,1,1,4,1,1,1,0,0,1,0,4,0,9,0
270,3,2,1,2,0,1,0,0,5,2,1,2,1,0,0,1,0,5,0,9,0
271,4,0,0,4,1,0,2,1,0,2,1,1,1,0,0,1,0,5,0,7,0
272,5,8,3,5,0,1,0,1,0,4,2,1,1,0,0,1,0,5,0,7,0
273,3,1,0,1,0,1,0,1,1,2,1,3,1,0,0,1,0,4,0,9,0
274,2,5,1,1,0,0,2,0,8,3,1,4,1,1,1,0,0,2,1,5,0
275,3,1,0,1,1,0,0,1,0,4,1,1,1,0,0,1,0,5,0,7,0
276,4,0,0,5,1,1,0,1,1,3,1,1,1,0,0,1,0,4,0,9,0
277,3,2,1,2,0,0,0,0,2,4,1,1,1,0,0,0,0,3,1,8,0
278,2,7,1,0,0,0,0,0,5,1,1,1,1,0,0,0,0,5,1,1,0
279,2,3,0,2,0,0,0,0,5,3,1,1,1,0,0,1,0,5,0,9,0
280,4,0,0,5,1,0,0,1,0,4,1,1,1,0,0,1,0,5,0,7,0
281,5,6,0,5,1,0,2,1,0,4,1,1,1,0,0,1,0,5,0,7,0
282,3,4,1,2,0,1,0,0,5,2,1,1,1,2,1,0,0,5,1,1,0
283,4,4,0,0,0,1,0,1,0,1,1,2,1,0,0,1,0,5,0,7,0
284,5,5,0,1,0,0,0,1,0,2,2,2,1,0,0,1,0,5,0,7,0
285,2,9,1,1,1,0,2,1,4,3,1,1,1,0,0,1,0,3,0,9,0
286,2,0,0,0,0,0,2,1,0,0,1,6,1,0,0,1,0,5,0,7,0
287,3,0,1,4,0,1,0,0,2,3,1,1,1,1,1,0,0,3,1,8,0
288,5,5,0,3,0,1,0,0,1,3,3,4,1,1,1,0,0,4,1,1,1
289,2,0,0,4,1,1,0,1,0,3,1,1,1,0,0,1,0,5,0,7,0
290,3,0,1,0,0,1,0,1,0,1,1,2,1,0,0,1,0,5,0,7,0
291,4,2,0,3,0,1,0,0,8,0,2,1,1,1,1,0,0,2,1,5,0
292,2,5,1,2,0,0,0,0,4,0,2,3,0,2,2,0,0,4,1,1,1
293,4,6,0,2,0,0,0,0,5,3,1,6,1,0,0,1,0,5,0,9,0
294,5,0,0,5,1,0,0,0,4,4,1,2,1,0,0,1,0,3,0,9,0
295,4,6,0,2,0,0,0,0,0,4,2,1,1,0,0,0,1,2,1,5,0
296,2,2,1,2,0,0,2,1,0,1,1,2,1,0,0,1,0,5,0,7,0
297,2,0,1,0,0,0,0,0,0,3,1,1,1,1,1,0,1,2,1,5,0
298,4,5,1,6,1,1,0,1,0,3,1,7,1,0,0,1,0,5,0,7,0
299,2,10,1,2,0,0,0,0,0,2,1,1,1,0,0,0,1,2,1,5,0
300,3,5,0,3,0,1,0,1,0,3,1,4,1,0,0,1,0,5,0,7,0
301,5,3,0,2,0,0,2,1,1,3,1,1,1,0,0,1,0,4,0,9,0
302,5,8,0,0,0,1,0,0,5,4,1,4,1,0,0,1,0,5,0,9,1
303,2,2,1,1,1,0,0,1,4,3,1,1,1,0,0,1,0,3,0,9,0
304,3,4,0,2,0,1,0,1,0,1,1,2,1,0,0,1,0,5,0,7,0
305,4,0,0,6,0,0,2,1,0,2,1,1,1,0,0,1,0,5,0,7,0
306,5,0,2,6,1,0,0,1,1,3,1,3,1,0,0,1,0,4,0,9,0
307,2,2,1,2,0,1,0,1,1,1,1,2,1,0,0,1,0,4,0,9,0
308,3,0,0,0,1,1,0,0,0,1,3,3,1,1,1,0,1,2,1,5,1
309,4,2,0,2,0,0,0,0,2,1,1,1,1,0,0,0,0,3,1,8,0
310,3,2,1,2,0,0,0,0,5,3,1,1,1,0,0,1,0,5,0,9,0
311,4,2,0,2,0,0,2,0,4,0,1,2,1,0,0,1,0,3,0,9,0
312,3,5,0,2,1,0,0,1,0,1,1,3,1,0,0,1,0,5,0,7,0
313,4,2,2,1,0,1,0,1,0,4,1,2,1,0,0,1,0,5,0,7,0
